Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
Iheme, Leonardo O.; 	Un-coded versus Coded QPSK-OFDM Performance over Rayleigh Fading Channels and DL-PUSC Subchannelization for OFDMA					2010	Eastern Mediterranean University
İnce, Erhan A; Nurellari, Edmond; Iheme, Leonardo O; 	IMAGE TRANSMISSION OVER FADING CHANNELS USING RS-CC VERSUS LDPC CODING	The 13th IASTED International Conference on Signal and Image Processing (SIP)				2012	IASTED
Dushantha, NK Jayakody; Leonardo, O Iheme; Erhan, A İnce; 	Coded QPSK-OFDM for data transmission over fading channels	2010 Fifth International Conference on Information and Automation for Sustainability			276-282	2010	IEEE
Iheme, Leonardo O; 	ON THE INFORMATION CONTENT OF AN IMAGE TRANSMITTED OVER FADING CHANNELS USING CC VERSUS RS-CC CODING	Mosharaka International Conference on Communications, Computers and Applications (MIC-CCA)				2011	
Iheme, Leonardo O; Ünay, Devrim; Başkaya, Osman; Şennaz, Ahmet; Kandemir, Melek; Yalçıner, Z Betül; Tepe, M Savaş; Kahraman, Turgay; 	Concordance between computer-based neuroimaging findings and expert assessments in dementia grading	2013 21st Signal Processing and Communications Applications Conference (SIU)			01-Apr	2013	IEEE
Iheme, L.O.; Tepe, S.M.; Kandemir, M.; Kahraman, T.; Ünal, G.; Yalçıner, B.Z.; Ünay, D.; 	Automatic Grading of Periventricular White Matter Hyperintensities using FLAIR MRI	ESMRMB 2012 Congress			156-157	2012	ESMRMB
Cash, David M; Frost, Chris; Iheme, Leonardo O; Ünay, Devrim; Kandemir, Melek; Fripp, Jurgen; Salvado, Olivier; Bourgeat, Pierrick; Reuter, Martin; Fischl, Bruce; 	Assessing atrophy measurement techniques in dementia: results from the MIRIAD atrophy challenge	Neuroimage	123		149-164	2015	Academic Press
Iheme, Leonardo O; Kandemir, Melek; Yalciner, Z Betul; Unay, Devrim; 	Beyaz Cevher Hiperintensitesinin Görsel Derecelendirmesinde Otomasyon, Standardizasyon ve Tutarlılık Cagrısı A Call for Automation, Standardization and Consistency in White Matter Hyperintensity Visual Grading						
Iheme, Leonardo O; Unay, Devrim; 	Automatic white matter hyperintensity segmentation using FLAIR MRI: The MS lesion segmentation challenge	NeuroImage	28	3	607-17	2005	
Iheme, LO; Tepe, SM; Kandemir, M; Kahraman, T; Unal, G; Yalciner, BZ; Unay, D; 	AUTOMATIC PERIVENTRICULAR WHITE MATTER HYPERINTENSITY SEGMENTATION, QUANTIFICATION & GRADING						
Carass, Aaron; Roy, Snehashis; Jog, Amod; Cuzzocreo, Jennifer L; Magrath, Elizabeth; Gherman, Adrian; Button, Julia; Nguyen, James; Prados, Ferran; Sudre, Carole H; 	Longitudinal multiple sclerosis lesion segmentation: resource and challenge	NeuroImage	148		77-102	2017	Academic Press
